acteurs,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
,100 000 000 $,,  04/12/2002,"
                                  2h 30min                            ",2728766,Franchise,Fantasy,Etats-Unis,,"
                                    Chris Columbus",,1007,"
                Warner Bros.","
                            Harry Potter et la chambre des secrets",https://www.jpbox-office.com/fichfilm.php?id=1742&view=2
"
                            Richard Anconina,
                            José Garcia,
                            Gad Elmaleh",12 560 000 €,,  07/02/2001,"
                                  1h 45min                            ",2830489,Franchise,Comédie,France,,"
                                    Thomas Gilou",,827,"
                Warner Bros.","
                            La Vérité si je mens! 2",https://www.jpbox-office.com/fichfilm.php?id=2077&view=2
,300 000 000 $,,  23/05/2007,"
                                  2h 48min                            ",2709377,Franchise,Aventure - Action,Etats-Unis,,"
                                    Gore Verbinski",,783,"
                Walt Disney Pictures","
                            Pirates des Caraïbes, jusqu'au bout du monde",https://www.jpbox-office.com/fichfilm.php?id=28&view=2
,41 900 000 €,,  03/02/1999,"
                                  1h 49min                            ",2718443,Franchise,Comédie,France,,"
                                    Claude Zidi",,780,"
                Pathé","
                            Astérix et Obélix contre César",https://www.jpbox-office.com/fichfilm.php?id=2704&view=2
"
                            Gérard Depardieu,
                            Christian Clavier,
                            Roberto Begnini,
                            Michel Galabru",41 900 000 €,,  03/02/1999,"
                                  1h 49min                            ",2718443,Franchise,Comédie,France,Claude Berri,"
                                    Claude Zidi",,780,"
                Pathé","
                            Astérix et Obélix contre César",https://www.jpbox-office.com/fichfilm.php?id=2704&view=2
"
                            Johnny Depp,
                            Orlando Bloom,
                            Yun-Fat Chow,
                            Geoffrey Rush,
                            Keira Knightley",300 000 000 $,Hans Zimmer,  23/05/2007,"
                                  2h 48min                            ",2709377,Franchise,Aventure - Action,Etats-Unis,Jerry Brukheimer,"
                                    Gore Verbinski",,783,"
                Walt Disney Pictures","
                            Pirates des Caraïbes, jusqu'au bout du monde",https://www.jpbox-office.com/fichfilm.php?id=28&view=2
"
                            Daniel Radcliffe,
                            Emma Watson,
                            Kenneth Branagh,
                            Alan Rickman",100 000 000 $,John Williams,  04/12/2002,"
                                  2h 30min                            ",2728766,Franchise,Fantasy,Etats-Unis,,"
                                    Chris Columbus",,1007,"
                Warner Bros.","
                            Harry Potter et la chambre des secrets",https://www.jpbox-office.com/fichfilm.php?id=1742&view=2
,10 700 000 €,,  29/03/2000,"
                                  1h 30min                            ",3478850,Franchise,Comédie,France,,"
                                    Gérard Krawczyk",,831,"
                ARP Selection","
                            Taxi 2",https://www.jpbox-office.com/fichfilm.php?id=2398&view=2
"
                            Jamel Debbouze,
                            Jean Reno,
                            Seth Rogen",,Hans Zimmer,  17/07/2019,"
                                  1h 58min                            ",3252896,,Aventure - Action,Etats-Unis,,"
                                    Jon Favreau",,680,"
                Walt Disney Pictures","
                            Le Roi Lion (2019)",https://www.jpbox-office.com/fichfilm.php?id=17528&view=2
,215 000 000 $,,  16/12/2015,"
                                  2h 16min                            ",3801235,Franchise,Fantasy,Etats-Unis,,"
                                    J.J. Abrams",,1093,"
                Walt Disney Pictures","
                            Star Wars: Le Réveil de la Force",https://www.jpbox-office.com/fichfilm.php?id=13345&view=2
,35 056 049 €,,  01/02/2006,"
                                  1h 37min                            ",3906694,Franchise,Comédie,France,,"
                                    Patrice Leconte",,950,"
                Warner Bros.","
                            Les Bronzés 3: Amis pour la vie",https://www.jpbox-office.com/fichfilm.php?id=320&view=2
"
                            Jamel Debbouze,
                            Jean Reno,
                            Seth Rogen",260 000 000 $,Hans Zimmer,  17/07/2019,"
                                  1h 58min                            ",3252896,,Aventure - Action,Etats-Unis,,"
                                    Jon Favreau",,680,"
                Walt Disney Pictures","
                            Le Roi Lion (2019)",https://www.jpbox-office.com/fichfilm.php?id=17528&view=2
"
                            Harrison Ford,
                            Adam Driver",215 000 000 $,John Williams,  16/12/2015,"
                                  2h 16min                            ",3801235,Franchise,Fantasy,Etats-Unis,J.J. Abrams,"
                                    J.J. Abrams",,1093,"
                Walt Disney Pictures","
                            Star Wars: Le Réveil de la Force",https://www.jpbox-office.com/fichfilm.php?id=13345&view=2
"
                            Michel Blanc,
                            Christian Clavier,
                            Thierry Lhermitte,
                            Josiane Balasko,
                            Gérard Jugnot",35 056 049 €,,  01/02/2006,"
                                  1h 37min                            ",3906694,Franchise,Comédie,France,,"
                                    Patrice Leconte",,950,"
                Warner Bros.","
                            Les Bronzés 3: Amis pour la vie",https://www.jpbox-office.com/fichfilm.php?id=320&view=2
"
                            Frédéric Diefenthal,
                            Samy Nacéri,
                            Marion Cotillard",10 700 000 €,,  29/03/2000,"
                                  1h 30min                            ",3478850,Franchise,Comédie,France,Luc Besson,"
                                    Gérard Krawczyk",,831,"
                ARP Selection","
                            Taxi 2",https://www.jpbox-office.com/fichfilm.php?id=2398&view=2
,23 000 000 €,,  11/02/1998,"
                                  1h 58min                            ",2655916,Franchise,Comédie,France,,"
                                    Jean-Marie Poiré",,600,"
                GBVI","
                            Les Visiteurs II - Les Couloirs du temps",https://www.jpbox-office.com/fichfilm.php?id=3039&view=2
,225 000 000 $,,  02/08/2006,"
                                  2h 30min                            ",2708112,Franchise,Aventure - Action,Etats-Unis,,"
                                    Gore Verbinski",,750,"
                Walt Disney Pictures","
                            Pirates des Caraïbes, le secret du coffre maudit",https://www.jpbox-office.com/fichfilm.php?id=321&view=2
"
                            Jean Reno,
                            Christian Clavier",23 000 000 €,,  11/02/1998,"
                                  1h 58min                            ",2655916,Franchise,Comédie,France,,"
                                    Jean-Marie Poiré",,600,"
                GBVI","
                            Les Visiteurs II - Les Couloirs du temps",https://www.jpbox-office.com/fichfilm.php?id=3039&view=2
,74 982 618 €,,  30/01/2008,"
                                  1h 54min                            ",3007811,Franchise,Comédie,France,,,,1078,"
                Pathé","
                            Asterix aux Jeux Olympiques",https://www.jpbox-office.com/fichfilm.php?id=3&view=2
,125 000 000 $,,  13/07/2011,"
                                  2h 10min                            ",3129485,Franchise,Fantasy,Etats-Unis,,"
                                    David Yates",,812,"
                Warner Bros.","
                            Harry Potter et les reliques de la mort - partie 2",https://www.jpbox-office.com/fichfilm.php?id=10193&view=2
,135 000 000 $,,  26/10/2011,"
                                  1h 47min                            ",3158313,,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,850,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
,315 000 000 $,,  16/12/2009,"
                                  2h 40min                            ",2648596,Franchise,Science Fiction,Etats-Unis,,"
                                    James Cameron",,726,"
                20th Century Fox","
                            Avatar",https://www.jpbox-office.com/fichfilm.php?id=9975&view=2
,90 000 000 $,,  26/11/2003,"
                                  1h 41min                            ",2056621,,Animation,Etats-Unis,,"
                                    Lee Unkrich",,893,"
                GBVI","
                            Le Monde de Nemo",https://www.jpbox-office.com/fichfilm.php?id=1399&view=2
,44 000 000 $,,  16/10/1985,"
                                  1h 36min                            ",2075238,Franchise,Guerre,Etats-Unis,,,,,"
                Warner-Columbia","
                            Rambo 2 : la mission",https://www.jpbox-office.com/fichfilm.php?id=6384&view=2
,200 000 000 $,,  24/04/2013,"
                                  2h 10min                            ",2064740,Franchise,Comicbook,Etats-Unis,,"
                                    Shane Black",,740,"
                Walt Disney Pictures","
                            Iron Man 3",https://www.jpbox-office.com/fichfilm.php?id=11705&view=2
,40 000 000 $,,  11/02/2015,"
                                  2h 05min                            ",2081638,Franchise,Romance,Etats-Unis,,,,785,"
                Universal","
                            Cinquante Nuances de Grey",https://www.jpbox-office.com/fichfilm.php?id=13761&view=2
,210 000 000 $,,  14/07/2004,"
                                  2h 07min                            ",2100789,Franchise,Comicbook,Etats-Unis,,"
                                    Sam Raimi",,880,"
                Columbia","
                            Spider-Man 2",https://www.jpbox-office.com/fichfilm.php?id=1047&view=2
,150 000 000 $,,  10/06/2015,"
                                  2h 04min                            ",2087959,Franchise,Aventure - Action,Etats-Unis,,"
                                    Colin Trevorrow",,859,"
                Universal","
                            Jurassic World",https://www.jpbox-office.com/fichfilm.php?id=13746&view=2
"
                            Tobey Maguire,
                            Kirsten Dunst,
                            James Franco,
                            Willem Dafoe",210 000 000 $,Danny Elfman,  14/07/2004,"
                                  2h 07min                            ",2100789,Franchise,Comicbook,Etats-Unis,Kevin Feige,"
                                    Sam Raimi",,880,"
                Columbia","
                            Spider-Man 2",https://www.jpbox-office.com/fichfilm.php?id=1047&view=2
,127 000 000 $,,  16/05/2003,"
                                  2h 18min                            ",2112676,Franchise,Science Fiction,Etats-Unis,,"
                                     Wachowski (brothers)",,857,"
                Warner Bros.","
                            Matrix Reloaded",https://www.jpbox-office.com/fichfilm.php?id=1402&view=2
"
                            Bryce Dallas Howard,
                            Chris Pratt,
                            Omar Sy",150 000 000 $,,  10/06/2015,"
                                  2h 04min                            ",2087959,Franchise,Aventure - Action,Etats-Unis,Frank Marshall,"
                                    Colin Trevorrow",,859,"
                Universal","
                            Jurassic World",https://www.jpbox-office.com/fichfilm.php?id=13746&view=2
"
                            Keanu Reeves,
                            Carrie-Anne Moss,
                            Laurence Fishburne,
                            Monica Bellucci,
                            Lambert Wilson",127 000 000 $,,  16/05/2003,"
                                  2h 18min                            ",2112676,Franchise,Science Fiction,Etats-Unis,Joel Silver,"
                                     Wachowski (brothers)",,857,"
                Warner Bros.","
                            Matrix Reloaded",https://www.jpbox-office.com/fichfilm.php?id=1402&view=2
"
                            Sylvester Stallone",44 000 000 $,Jerry Goldsmith,  16/10/1985,"
                                  1h 36min                            ",2075238,Franchise,Guerre,Etats-Unis,,,,,"
                Warner-Columbia","
                            Rambo 2 : la mission",https://www.jpbox-office.com/fichfilm.php?id=6384&view=2
,150 000 000 $,,  05/11/2003,"
                                  2h 09min                            ",2121172,Franchise,Science Fiction,Etats-Unis,,"
                                     Wachowski (brothers)",,859,"
                Warner Bros.","
                            Matrix Revolutions",https://www.jpbox-office.com/fichfilm.php?id=1406&view=2
"
                            Keanu Reeves,
                            Carrie-Anne Moss,
                            Laurence Fishburne,
                            Monica Bellucci,
                            Lambert Wilson",150 000 000 $,,  05/11/2003,"
                                  2h 09min                            ",2121172,Franchise,Science Fiction,Etats-Unis,Joel Silver,"
                                     Wachowski (brothers)",,859,"
                Warner Bros.","
                            Matrix Revolutions",https://www.jpbox-office.com/fichfilm.php?id=1406&view=2
,40 000 000 $,Danny Elfman,  11/02/2015,"
                                  2h 05min                            ",2081638,Franchise,Romance,Etats-Unis,,,,785,"
                Universal","
                            Cinquante Nuances de Grey",https://www.jpbox-office.com/fichfilm.php?id=13761&view=2
"
                            Eric Bana,
                            Franck Dubosc,
                            Samy Nacéri",90 000 000 $,Thomas Newman,  26/11/2003,"
                                  1h 41min                            ",2056621,,Animation,Etats-Unis,John Lasseter,"
                                    Lee Unkrich",,893,"
                GBVI","
                            Le Monde de Nemo",https://www.jpbox-office.com/fichfilm.php?id=1399&view=2
"
                            Robert Downey Jr,
                            Gwyneth Paltrow,
                            Don Cheadle,
                            Guy Pearce",200 000 000 $,Brian Tyler,  24/04/2013,"
                                  2h 10min                            ",2064740,Franchise,Comicbook,Etats-Unis,Kevin Feige,"
                                    Shane Black",,740,"
                Walt Disney Pictures","
                            Iron Man 3",https://www.jpbox-office.com/fichfilm.php?id=11705&view=2
,150 000 000 $,,  17/02/2016,"
                                  1h 48min                            ",1556396,,Animation,Etats-Unis,,,,647,"
                Walt Disney Pictures","
                            Zootopie",https://www.jpbox-office.com/fichfilm.php?id=15556&view=2
,58 000 000 $,,  10/02/2016,"
                                  1h 49min                            ",1575661,Franchise,Comicbook,Etats-Unis,,,,478,"
                20th Century Fox","
                            Deadpool",https://www.jpbox-office.com/fichfilm.php?id=15600&view=2
"
                            Kim Basinger",,Danny Elfman,  08/02/2017,"
                                  1h 55min                            ",1618110,Franchise,Romance,Etats-Unis,,,,721,"
                Universal","
                            Cinquante nuances plus sombres",https://www.jpbox-office.com/fichfilm.php?id=15186&view=2
"
                            Tom Cruise,
                            Brendan Gleeson,
                            Anthony Hopkins",,Hans Zimmer,  26/07/2000,"
                                  2h 06min                            ",1610166,Franchise,Aventure - Action,Etats-Unis,Paula Wagner,"
                                    John Woo",,745,"
                UIP","
                            Mission: Impossible 2",https://www.jpbox-office.com/fichfilm.php?id=2401&view=2
"
                            Joaquin Phoenix,
                            Robert De Niro",,,  09/10/2019,"
                                  2h 02min                            ",1606425,,Comicbook,Etats-Unis,,"
                                    Todd Phillips",,630,"
                Warner Bros.","
                            Joker",https://www.jpbox-office.com/fichfilm.php?id=18661&view=2
"
                            Kim Basinger",55 000 000 $,Danny Elfman,  08/02/2017,"
                                  1h 55min                            ",1618110,Franchise,Romance,Etats-Unis,,,,721,"
                Universal","
                            Cinquante nuances plus sombres",https://www.jpbox-office.com/fichfilm.php?id=15186&view=2
"
                            Joaquin Phoenix,
                            Robert De Niro",55 000 000 $,,  09/10/2019,"
                                  2h 02min                            ",1606425,,Comicbook,Etats-Unis,,"
                                    Todd Phillips",,630,"
                Warner Bros.","
                            Joker",https://www.jpbox-office.com/fichfilm.php?id=18661&view=2
"
                            Tom Cruise,
                            Brendan Gleeson,
                            Anthony Hopkins",125 000 000 $,Hans Zimmer,  26/07/2000,"
                                  2h 06min                            ",1610166,Franchise,Aventure - Action,Etats-Unis,Paula Wagner,"
                                    John Woo",,745,"
                UIP","
                            Mission: Impossible 2",https://www.jpbox-office.com/fichfilm.php?id=2401&view=2
,45 887 769 €,,  27/10/2004,"
                                  2h 14min                            ",1618337,,Drame,France,,"
                                    Jean-Pierre Jeunet",,707,"
                Warner Bros.","
                            Un long dimanche de fiançailles",https://www.jpbox-office.com/fichfilm.php?id=1048&view=2
,28 000 000 $,,  12/09/1984,"
                                  1h 58min                            ",1629779,Franchise,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,,"
                CIC","
                            Indiana Jones et le temple maudit",https://www.jpbox-office.com/fichfilm.php?id=6600&view=2
,200 000 000 $,,  26/04/2017,"
                                  2h 16min                            ",1401339,Franchise,Comicbook,Etats-Unis,,"
                                    James Gunn",,715,"
                Walt Disney Pictures","
                            Les Gardiens de la Galaxie 2",https://www.jpbox-office.com/fichfilm.php?id=14853&view=2
,170 000 000 $,,  06/06/2018,"
                                  2h 09min                            ",1396911,Franchise,Aventure - Action,Etats-Unis,,"
                                    Juan Antonio Bayona",,903,"
                Universal","
                            Jurassic World: Fallen Kingdom",https://www.jpbox-office.com/fichfilm.php?id=17223&view=2
,45 000 000 $,,  23/11/1994,"
                                  1h 29min                            ",1312942,,Animation,Etats-Unis,,"
                                    Rob Minkoff",,620,"
                GBVI","
                            Le Roi lion",https://www.jpbox-office.com/fichfilm.php?id=4246&view=2
"
                            Rowan Atkinson,
                            Matthew Broderick,
                            Whoopi Goldberg,
                            Jeremy Irons,
                            Jean Reno",45 000 000 $,Hans Zimmer,  23/11/1994,"
                                  1h 29min                            ",1312942,,Animation,Etats-Unis,,"
                                    Rob Minkoff",,620,"
                GBVI","
                            Le Roi lion",https://www.jpbox-office.com/fichfilm.php?id=4246&view=2
,185 000 000 $,,  13/08/2008,"
                                  2h 30min                            ",1271688,Franchise,Comicbook,Etats-Unis,,"
                                    Christopher Nolan",,820,"
                Warner Bros.","
                            The Dark Knight, Le Chevalier Noir",https://www.jpbox-office.com/fichfilm.php?id=7&view=2
"
                            Christian Bale,
                            Heath Ledger,
                            Michael Caine,
                            Aaron Eckhart,
                            Morgan Freeman,
                            Maggie Gyllenhaal,
                            Gary Oldman,
                            Cillian Murphy",185 000 000 $,Hans Zimmer,  13/08/2008,"
                                  2h 30min                            ",1271688,Franchise,Comicbook,Etats-Unis,Christopher Nolan,"
                                    Christopher Nolan",,820,"
                Warner Bros.","
                            The Dark Knight, Le Chevalier Noir",https://www.jpbox-office.com/fichfilm.php?id=7&view=2
,160 000 000 $,,  21/07/2010,"
                                  2h 28min                            ",1305534,,Science Fiction,Etats-Unis,,"
                                    Christopher Nolan",,626,"
                Warner Bros.","
                            Inception",https://www.jpbox-office.com/fichfilm.php?id=11001&view=2
,48 000 000 $,,  18/10/1989,"
                                  2h 07min                            ",1314450,Franchise,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,,"
                UIP","
                            Indiana Jones et la Dernière Croisade",https://www.jpbox-office.com/fichfilm.php?id=5498&view=2
,195 000 000 $,,  29/06/2011,"
                                  2h 30min                            ",1315020,Franchise,Science Fiction,Etats-Unis,,"
                                    Michael Bay",,760,"
                Paramount","
                            Transformers 3 - La Face cachée de la Lune",https://www.jpbox-office.com/fichfilm.php?id=10737&view=2
,175 000 000 $,,  13/04/2016,"
                                  1h 46min                            ",1302847,,Aventure - Action,Etats-Unis,,"
                                    Jon Favreau",,653,"
                Walt Disney Pictures","
                            Le Livre de la jungle (2016)",https://www.jpbox-office.com/fichfilm.php?id=14882&view=2
,93 000 000 $,,  10/08/2011,"
                                  1h 50min                            ",1321648,Franchise,Science Fiction,Etats-Unis,,,,702,"
                20th Century Fox","
                            La Planète des singes: les origines",https://www.jpbox-office.com/fichfilm.php?id=11380&view=2
"
                            Leonardo DiCaprio,
                            Marion Cotillard,
                            Michael Caine,
                            Joseph Gordon-Levitt,
                            Tom Hardy,
                            Cillian Murphy,
                            Ellen Page",160 000 000 $,Hans Zimmer,  21/07/2010,"
                                  2h 28min                            ",1305534,,Science Fiction,Etats-Unis,Christopher Nolan,"
                                    Christopher Nolan",,626,"
                Warner Bros.","
                            Inception",https://www.jpbox-office.com/fichfilm.php?id=11001&view=2
,110 000 000 $,,  16/05/2018,"
                                  2h 00min                            ",1186493,Franchise,Comicbook,Etats-Unis,,,,601,"
                20th Century Fox","
                            Deadpool 2",https://www.jpbox-office.com/fichfilm.php?id=17036&view=2
,87 000 000 $,,  28/02/2001,"
                                  2h 11min                            ",1197707,Franchise,Thriller,Etats-Unis,,"
                                    Ridley Scott",,597,"
                UIP","
                            Hannibal",https://www.jpbox-office.com/fichfilm.php?id=2090&view=2
,110 000 000 $,,  15/12/2004,"
                                  2h 05min                            ",1202262,Franchise,Comédie,Etats-Unis,,"
                                    Steven Soderbergh",,789,"
                Warner Bros.","
                            Ocean's Twelve",https://www.jpbox-office.com/fichfilm.php?id=1054&view=2
,61 000 000 $,,  07/10/2015,"
                                  2h 13min                            ",1190062,Franchise,Fantasy,Etats-Unis,,,,563,"
                20th Century Fox","
                            Le Labyrinthe : La Terre brûlée",https://www.jpbox-office.com/fichfilm.php?id=14554&view=2
,51 460 337 €,,  21/01/2015,"
                                  1h 43min                            ",1192842,Franchise,Thriller,France,,"
                                    Olivier Megaton",,564,"
                EuropaCorp","
                            Taken 3",https://www.jpbox-office.com/fichfilm.php?id=14195&view=2
"
                            Liam Neeson,
                            Forest Whitaker,
                            Famke Janssen",51 460 337 €,,  21/01/2015,"
                                  1h 43min                            ",1192842,Franchise,Thriller,France,Luc Besson,"
                                    Olivier Megaton",,564,"
                EuropaCorp","
                            Taken 3",https://www.jpbox-office.com/fichfilm.php?id=14195&view=2
"
                            George Clooney,
                            Matt Damon,
                            Brad Pitt,
                            Casey Affleck,
                            Vincent Cassel,
                            Don Cheadle,
                            Andy Garcia,
                            Julia Roberts,
                            Catherine Zeta Jones,
                            Bruce Willis",110 000 000 $,,  15/12/2004,"
                                  2h 05min                            ",1202262,Franchise,Comédie,Etats-Unis,,"
                                    Steven Soderbergh",,789,"
                Warner Bros.","
                            Ocean's Twelve",https://www.jpbox-office.com/fichfilm.php?id=1054&view=2
"
                            Josh Brolin,
                            Ryan Reynolds,
                            Hugh Jackman,
                            James McAvoy,
                            Brad Pitt",110 000 000 $,Tyler Bates,  16/05/2018,"
                                  2h 00min                            ",1186493,Franchise,Comicbook,Etats-Unis,,,,601,"
                20th Century Fox","
                            Deadpool 2",https://www.jpbox-office.com/fichfilm.php?id=17036&view=2
"
                            Anthony Hopkins,
                            Julianne Moore,
                            Ray Liotta,
                            Gary Oldman",87 000 000 $,Hans Zimmer,  28/02/2001,"
                                  2h 11min                            ",1197707,Franchise,Thriller,Etats-Unis,Ridley Scott,"
                                    Ridley Scott",,597,"
                UIP","
                            Hannibal",https://www.jpbox-office.com/fichfilm.php?id=2090&view=2
"
                            Mathieu Kassovitz,
                            Audrey Tautou,
                            Jamel Debbouze,
                            Yolande Moreau,
                            André Dussollier",,,  25/04/2001,"
                                  2h 00min                            ",1185945,,Romance,France,,"
                                    Jean-Pierre Jeunet",,432,"
                UFD","
                            Le Fabuleux destin d'Amélie Poulain",https://www.jpbox-office.com/fichfilm.php?id=2076&view=2
"
                            Mathieu Kassovitz,
                            Audrey Tautou,
                            Jamel Debbouze,
                            Yolande Moreau,
                            André Dussollier",11 710 000 €,,  25/04/2001,"
                                  2h 00min                            ",1185945,,Romance,France,,"
                                    Jean-Pierre Jeunet",,432,"
                UFD","
                            Le Fabuleux destin d'Amélie Poulain",https://www.jpbox-office.com/fichfilm.php?id=2076&view=2
,100 000 000 $,,  16/01/2013,"
                                  2h 45min                            ",1128810,,Western,Etats-Unis,,"
                                    Quentin Tarantino",,610,"
                Sony Pictures","
                            Django Unchained",https://www.jpbox-office.com/fichfilm.php?id=12529&view=2
,70 000 000 $,,  12/11/1997,"
                                  1h 44min                            ",1125755,Franchise,Science Fiction,Etats-Unis,,"
                                    Jean-Pierre Jeunet",,507,"
                UFD","
                            Alien, la résurrection",https://www.jpbox-office.com/fichfilm.php?id=3372&view=2
